name,url,author,publisher,date,price,rate,comment
无人生还,https://book.douban.com/subject/3006581/,[英] 阿加莎・克里斯蒂 , 人民文学出版社 , 2008-3 , 19.00,8.9,童谣杀人案
神雕侠侣,https://book.douban.com/subject/1255624/,金庸 , 生活·读书·新知三联书店 , 1994-5 , 76.80元,8.9,至情至性，情大于武
巴黎圣母院,https://book.douban.com/subject/1024197/,[法]雨果 , 人民文学出版社 , 1982-6 , 22.50元,8.3,潜藏于残缺下的美与崇高
民主的细节,https://book.douban.com/subject/3813669/,刘瑜 , 上海三联书店 , 2009-6 , 25.00,8.6,公民养成手册
肖申克的救赎,https://book.douban.com/subject/1829226/,[美] 斯蒂芬·金 , 人民文学出版社 , 2006-7 , 29.90元,9.1,希望让人自由，电影实在太有名
月亮与六便士,https://book.douban.com/subject/26954760/,[英] 威廉·萨默塞特·毛姆 , 浙江文艺出版社 , 2017-1-1 , 39.80元,8.8,满地都是六便士，他却抬头看见了月亮
羊脂球,https://book.douban.com/subject/1205370/,（法）莫泊桑 , 北京燕山出版社 , 2007-6 , 13.50元,8.1,资产阶级的道貌岸然
呐喊,https://book.douban.com/subject/1449351/,鲁迅 , 人民文学出版社 , 1973年3月 , 0.36元,8.9,新文学的第一声呐喊
遇见未知的自己,https://book.douban.com/subject/2340100/,张德芬 , 华夏出版社 , 2008-1 , 29.00,8.0,都市灵修速成
乌合之众,https://book.douban.com/subject/1012611/,（法）勒庞 , 中央编译出版社 , 2011-5-1 , 16.00元,8.2,群氓心理剖析
动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔 , 上海译文出版社 , 2007-3 , 10.00元,9.2,太阳底下并无新事
爱你就像爱生命,https://book.douban.com/subject/3071717/,王小波 , 上海锦绣文章出版社 , 2008-5 , 18.00元,8.8,王小波与李银河的两地书
当我谈跑步时我谈些什么,https://book.douban.com/subject/3369600/,[日] 村上春树 , 南海出版公司 , 2009-1 , 25.00,8.2,村上同志告诉我们，身体是革命的本钱
安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生 , 人民文学出版社 , 1997-08 , 25.00,9.2,远不是童话那么简单
